wine,fresh_green,earthy_green,bitter_floral,allium,savory_brown,sharp_spicy,perfumedcitrus_spicy,smoky_spicy,umami_spicy,baking_spice,anise
cabernet sauvignon,2,2,1,1,1,1,1,1,5,5,3
merlot,3,2,1,1,1,1,1,4,3,4,5
syrah,1,3,2,1,1,1,1,3,5,4,5
malbec,4,4,2,1,1,1,1,1,5,5,3
pinot noir,1,4,3,3,1,1,1,1,2,5,3
sangiovese,1,4,2,2,1,1,1,2,5,3,3
chardonnay,5,3,2,1,1,1,5,1,1,5,1
sauvignon blanc,5,3,5,1,1,1,5,1,1,1,1
riesling dry,5,2,5,1,1,1,5,2,3,3,2
riesling off-dry,1,2,4,1,3,2,4,4,3,4,3
gewurztraminer,2,5,5,1,4,4,4,2,3,4,1
chenin blanc dry,2,4,2,2,1,3,4,1,1,2,4
chenin blanc off-dry,1,3,3,2,3,4,4,4,2,5,3